rank,feature,mean_absolute_coefficient,max_absolute_coefficient,fold_count
106,pkt_len_mean_sum,0.36955895361288515,0.4130080675602239,37
107,fwd_pkts_per_sec_sum,0.3667884135401371,0.5267155975922926,37
108,bwd_header_len_std,0.3645905424375054,0.6206384183998584,37
109,down_up_ratio_mean,0.35721843604050013,0.5402849421367971,37
110,pkt_len_max_max,0.3547262085680627,0.4462165918790817,37
111,fwd_iat_tot_std,0.34395850614751344,0.3848848670409059,37
112,fwd_iat_max_sum,0.34334001429137456,0.3768750852097414,37
113,fwd_iat_min_max,0.3431699949128717,0.4323956344949978,37
114,down_up_ratio_sum,0.3388141302581305,0.3841605377752183,37
115,flow_iat_min_sum,0.33633434365764275,0.4635798442818883,37
116,duration_microsec_std,0.3359561389576768,0.4546673428554492,37
117,fwd_iat_std_sum,0.333249669152968,0.3817392695447128,37
118,subflow_fwd_byts_sum,0.33279376241788,0.4764807834908844,37
119,pkt_size_avg_sum,0.3324451743910256,0.3800354221708873,37
120,pkt_len_max_sum,0.3269321777804407,0.4281984114700537,37
121,subflow_fwd_pkts_sum,0.3267562063361002,0.4747491925832166,37
122,packets_per_sec_max,0.325503940106951,0.5474091090269733,37
123,packet_count_fwd_mean,0.3245380025251054,0.7461638082686313,37
124,pkt_len_mean_std,0.32369711732703843,0.377644711337319,37
125,pkt_len_min_max,0.31957805269959766,0.3402364163883945,37
126,active_min_std,0.3193787121262029,0.4357437881496214,37
127,fwd_iat_max_max,0.3192296893668773,0.4458886230640711,37
128,bwd_pkts_per_sec_mean,0.3173728362643575,0.9493653258432144,37
129,active_mean_std,0.31111497575418773,0.3836465445665485,37
130,pkt_len_std_sum,0.3047913548415087,0.3728683209050142,37
131,fwd_iat_min_sum,0.3041589669040175,0.4039958698429778,37
132,fwd_iat_mean_max,0.3036006625115889,0.3855820924374574,37
133,fwd_header_len_max,0.2998834361192627,0.6041864927043483,37
134,duration_microsec_max,0.29913457743328153,0.4691662630181925,37
135,cwe_flag_cnt_std,0.2975876249781581,0.3415295668195439,37
136,fwd_urg_flags_std,0.2975876249781581,0.3415295668195439,37
137,packets_per_sec_mean,0.2972761726735226,0.9044179153287568,37
138,packets_per_sec_sum,0.29657787697006877,0.5042853040509574,37
139,psh_flag_cnt_max,0.28931672260060753,0.5857261253137999,37
140,bwd_iat_tot_max,0.28504549512217553,0.4050098115237477,37
141,packet_count_bwd_max,0.2845024247046483,0.3422473436068972,37
142,subflow_bwd_byts_std,0.28428455595759805,0.5863918809551624,37
143,fwd_pkts_per_sec_mean,0.2823570410409467,0.3663515190206577,37
144,pkt_size_avg_max,0.27544315474436676,0.3500330347900204,37
145,flow_iat_max_mean,0.27377586591741876,0.3171743103724138,37
146,fwd_iat_std_max,0.2717779305879358,0.3777844744795405,37
147,fwd_act_data_pkts_mean,0.2704691125245937,0.3064790376589774,37
148,active_std_max,0.2696743114951382,0.297015235970576,37
149,idle_mean_std,0.26763825804061464,0.4765718297946927,37
150,flow_iat_mean_sum,0.26671761077423156,0.4132309956241167,37
151,bwd_iat_std_std,0.2660083296203727,0.4986745427509763,37
152,subflow_fwd_pkts_mean,0.2637326795430402,0.3059804530694907,37
153,fwd_seg_size_min_sum,0.26360363801556846,0.3140745253015278,37
154,ack_flag_cnt_max,0.26087378325702676,0.4741421549505407,37
155,fwd_act_data_pkts_max,0.25469248264761507,0.3175416675813845,37
156,duration_sec_sum,0.2543494183488535,0.395873511254902,37
